#{"t_start": 1773725816.4837217, "env_id": "None"}
r,l,t
-14021.770519,300,2.28202
-10824.305776,300,2.433812
-7865.013152,300,2.601049
-18913.998484,300,2.899768
-16385.513666,300,3.085444
-13374.64065,300,3.270314
-15019.215176,300,4.575117
-6115.256811,300,4.73773
-4111.936317,258,4.867917
-12078.483798,300,5.020661
-9464.975553,300,5.186247
-9517.513203,300,5.33892
-10525.832829,300,5.485232
-15168.220656,300,6.640189
-20282.92869,300,6.819034
-13637.259917,300,6.992433
-18365.347555,300,7.186121
-14081.708283,300,7.346281
-8690.688594,300,7.521514
-13790.323478,300,7.699764
-15403.004506,300,8.879119
-6945.765592,300,9.048099
-5875.318505,300,9.194858
-16264.990939,300,9.365936
-15707.294948,300,9.515924
-9451.756464,300,9.663391
-11320.806011,300,9.824777
-7196.129017,300,11.000242
-7035.407321,300,11.168277
-6056.356849,300,11.318079
-3851.530971,300,11.478523
-2971.46938,143,11.55243
-10733.511899,300,11.710518
-6053.717362,300,11.86356
-5555.922694,300,13.006384
-6945.15683,300,13.182021
-642.841713,44,13.203374
-8297.585763,300,13.349429
-8390.448959,300,13.513421
-10123.734598,300,13.664032
-6090.508161,300,13.810325
-5513.567489,300,13.976594
-5283.672314,300,15.14625
-6716.302884,300,15.313292
-9702.765019,300,15.481026
-6271.594592,300,15.654853
-7988.791271,300,15.843637
-3663.844648,300,15.989901
-6230.54598,300,16.159732
-5336.087559,300,17.340981
-8773.708951,300,17.500881
-13224.058896,300,17.673635
-4373.266547,300,17.822221
-5412.515456,300,17.970679
-8152.340185,300,18.13585
-5464.437591,300,18.286129
-10712.463785,300,19.455148
-3183.222585,300,19.615962
-3770.919252,300,19.785016
-9299.028962,300,19.940189
-5485.609922,300,20.095607
-7499.573468,300,20.281844
-4934.550571,300,21.480015
-5413.090271,300,21.666099
-7039.641706,300,21.843831
-9183.075413,300,21.997994
-9314.441254,300,22.172502
-5802.868722,300,22.328948
-6408.079196,300,22.502272
-5968.251066,300,23.662032
-4706.599901,300,23.842431
-7329.395558,300,24.027714
-2487.032205,182,24.121142
-7839.048779,300,24.273838
-4609.475393,300,24.426018
